City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
Boston, MA,#blackconservative,Fri Jun 19 14:11:54 +0000 2020,42.3188,-71.0846,#fabed4,5472,4637537,1
Georgia, USA,#Copslivesmatter,Fri Jun 19 14:14:36 +0000 2020,32.96564403,-83.57147565,#808000,315.7548387,17340.27419,1
Arkansas, USA,#DisarmthePolice,Fri Jun 19 14:15:26 +0000 2020,35.0755365,-92.35809255,#562c2c,199.726257,4858.420857,1
Arkansas, USA,#DisarmthePolice,Fri Jun 19 14:15:26 +0000 2020,35.0755365,-92.35809255,#562c2c,199.726257,4858.420857,1
Pensacola, FL,#Equality,Fri Jun 19 14:19:31 +0000 2020,30.4427,-87.1886,#8980f5,897,344400,1
Washington, D.C.,#Equality,Fri Jun 19 14:41:09 +0000 2020,47.34480645,-121.3815208,#8980f5,521.5129032,16346.75484,2
Oklahoma, USA,#Copslivesmatter,Fri Jun 19 14:47:05 +0000 2020,35.55583016,-96.74808981,#808000,230.9456522,4969.266304,1
Los Angeles, CA,#Copslivesmatter,Fri Jun 19 14:48:53 +0000 2020,34.1139,-118.4068,#808000,3295,12815475,1
Boston, MA,#BlueLivesMurder,Fri Jun 19 14:52:49 +0000 2020,42.3188,-71.0846,#dbcbd8,5472,4637537,1
Houston, TX,#DreamersAreAmericans,Fri Jun 19 14:57:00 +0000 2020,29.7869,-95.3905,#dcbeff,1401,5446468,4
Houston, TX,#policereforms,Fri Jun 19 15:06:58 +0000 2020,29.7869,-95.3905,#bfef45,1401,5446468,1
Houston, TX,#policereforms,Fri Jun 19 15:06:58 +0000 2020,29.7869,-95.3905,#bfef45,1401,5446468,1
California, USA,#Copslivesmatter,Fri Jun 19 15:13:50 +0000 2020,36.92493894,-120.1874709,#808000,956.995814,39607.22724,2
Albuquerque, NM,#masculinity,Fri Jun 19 15:15:12 +0000 2020,35.1053,-106.6464,#f58231,1151,758523,1
Salisbury, MD,#policereforms,Fri Jun 19 15:17:35 +0000 2020,38.3755,-75.5867,#bfef45,924,106034,1
Salisbury, MD,#policereforms,Fri Jun 19 15:17:35 +0000 2020,38.3755,-75.5867,#bfef45,924,106034,1
New York, NY,#DreamersAreAmericans,Fri Jun 19 15:20:31 +0000 2020,40.6943,-73.9249,#dcbeff,11083,19354922,1
Michigan, USA,#Copslivesmatter,Fri Jun 19 15:27:20 +0000 2020,43.47372116,-84.86635913,#808000,503.2115942,15115.93768,1
Texas, USA,#Copslivesmatter,Fri Jun 19 15:30:23 +0000 2020,30.6543695,-97.80444208,#808000,467.0797439,19220.27823,1
Fate, TX,#policereforms,Fri Jun 19 15:32:29 +0000 2020,32.9432,-96.3863,#bfef45,400,12090,1
Fate, TX,#policereforms,Fri Jun 19 15:32:29 +0000 2020,32.9432,-96.3863,#bfef45,400,12090,1
Tulsa, OK,#DreamersAreAmericans,Fri Jun 19 15:40:33 +0000 2020,36.1284,-95.9043,#dcbeff,785,672054,1
Edgewater, NJ,#BlueLivesMurder,Fri Jun 19 15:49:54 +0000 2020,40.8238,-73.9739,#dbcbd8,4917,12368,1
Washington, DC,#masculinity,Fri Jun 19 15:52:12 +0000 2020,38.9047,-77.0163,#f58231,4382,5289420,2
Brentwood, NY,#masculinity,Fri Jun 19 15:58:46 +0000 2020,40.7839,-73.2522,#f58231,2222,63115,1
Everett, Washington,#DisarmthePolice,Fri Jun 19 16:07:14 +0000 2020,47.9524,-122.167,#562c2c,1278,110079,1
Everett, Washington,#DisarmthePolice,Fri Jun 19 16:07:14 +0000 2020,47.9524,-122.167,#562c2c,1278,110079,1
Texas, USA,#blackconservative,Fri Jun 19 16:07:46 +0000 2020,30.6543695,-97.80444208,#fabed4,467.0797439,19220.27823,3
Ann Arbor, MI,#DreamersAreAmericans,Fri Jun 19 16:08:04 +0000 2020,42.2755,-83.7312,#dcbeff,1680,326288,2
Ohio, USA,#IllegalAliens,Fri Jun 19 16:12:59 +0000 2020,40.35181636,-82.80448713,#aaffc3,549.1569767,11432.45266,1
Texas, USA,#blackconservative,Fri Jun 19 16:25:37 +0000 2020,30.6543695,-97.80444208,#fabed4,467.0797439,19220.27823,3
Mississippi, USA,#Copslivesmatter,Fri Jun 19 16:26:46 +0000 2020,32.89795845,-89.61042659,#808000,238.1468144,5752.022161,1
Las Vegas, NV,#DreamersAreAmericans,Fri Jun 19 16:35:58 +0000 2020,36.2333,-115.2654,#dcbeff,1747,2073045,2
Las Vegas, NV,#DreamersAreAmericans,Fri Jun 19 16:35:58 +0000 2020,36.2333,-115.2654,#dcbeff,1747,2073045,2
Seattle, WA,#DisarmthePolice,Fri Jun 19 16:37:39 +0000 2020,47.6211,-122.3244,#562c2c,3336,3643765,1
Tucson, AZ,#DreamersAreAmericans,Fri Jun 19 16:38:19 +0000 2020,32.1545,-110.8782,#dcbeff,868,868391,1
Tucson, AZ,#DreamersAreAmericans,Fri Jun 19 16:38:19 +0000 2020,32.1545,-110.8782,#dcbeff,868,868391,1
Brooklyn, NY,#BlueLivesMurder,Fri Jun 19 16:38:56 +0000 2020,40.6501,-73.9496,#dbcbd8,14606,2629150,1
Portland, OR,#Copslivesmatter,Fri Jun 19 16:54:47 +0000 2020,45.5371,-122.65,#808000,1874,2052796,1
Long Beach, CA,#DreamersAreAmericans,Fri Jun 19 17:02:39 +0000 2020,33.798,-118.1675,#dcbeff,3575,469450,2
Long Beach, CA,#DreamersAreAmericans,Fri Jun 19 17:02:39 +0000 2020,33.798,-118.1675,#dcbeff,3575,469450,2
Las Vegas, NV,#DreamersAreAmericans,Fri Jun 19 17:03:48 +0000 2020,36.2333,-115.2654,#dcbeff,1747,2073045,2
Las Vegas, NV,#DreamersAreAmericans,Fri Jun 19 17:03:48 +0000 2020,36.2333,-115.2654,#dcbeff,1747,2073045,2
Greenwood, SC,#DreamersAreAmericans,Fri Jun 19 17:06:17 +0000 2020,34.1945,-82.1542,#dcbeff,550,42174,1
Greenwood, SC,#DreamersAreAmericans,Fri Jun 19 17:06:17 +0000 2020,34.1945,-82.1542,#dcbeff,550,42174,1
Houston, TX,#DreamersAreAmericans,Fri Jun 19 17:07:59 +0000 2020,29.7869,-95.3905,#dcbeff,1401,5446468,4
Houston, TX,#DreamersAreAmericans,Fri Jun 19 17:07:59 +0000 2020,29.7869,-95.3905,#dcbeff,1401,5446468,2
Titusville, FL,#ProLife,Fri Jun 19 17:15:20 +0000 2020,28.5727,-80.8193,#564787,611,57497,1
Wisconsin, USA,#DreamersAreAmericans,Fri Jun 19 17:26:18 +0000 2020,44.15892607,-89.66840869,#dcbeff,323.3592737,7699.124514,1
Wisconsin, USA,#DreamersAreAmericans,Fri Jun 19 17:26:18 +0000 2020,44.15892607,-89.66840869,#dcbeff,323.3592737,7699.124514,1
Texas, USA,#IllegalAliens,Fri Jun 19 17:28:22 +0000 2020,30.6543695,-97.80444208,#aaffc3,467.0797439,19220.27823,1
Virginia, USA,#policereforms,Fri Jun 19 17:38:43 +0000 2020,37.7647657,-78.37606126,#bfef45,544.5238908,13988.1314,1
Virginia, USA,#policereforms,Fri Jun 19 17:38:43 +0000 2020,37.7647657,-78.37606126,#bfef45,544.5238908,13988.1314,1
Austin, TX,#DisarmthePolice,Fri Jun 19 17:40:54 +0000 2020,30.3006,-97.7517,#562c2c,1144,1638716,1
Austin, TX,#DisarmthePolice,Fri Jun 19 17:40:54 +0000 2020,30.3006,-97.7517,#562c2c,1144,1638716,1
Houston, Texas,#DreamersAreAmericans,Fri Jun 19 17:41:10 +0000 2020,29.7869,-95.3905,#dcbeff,1401,5446468,4
