,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
115,Norman, OK,#BLM,Sat Jun 20 23:59:36 +0000 2020,35.2335,-97.3471,#1e212b,265.0,115065.0,1
118,Minneapolis, MN,#BLM,Sat Jun 20 23:59:22 +0000 2020,44.9635,-93.2678,#1e212b,3019.0,2926757.0,1
121,New Orleans, LA,#BLM,Sat Jun 20 23:59:18 +0000 2020,30.0687,-89.9288,#1e212b,896.0,1029123.0,1
122,Sedona, AZ,#BLM,Sat Jun 20 23:59:15 +0000 2020,34.8574,-111.7951,#1e212b,209.0,6967.0,1
125,Michigan, USA,#BLM,Sat Jun 20 23:59:02 +0000 2020,43.47372115942029,-84.86635913043477,#1e212b,503.21159420289854,15115.937681159421,1
126,Grand Rapids, MI,#BLM,Sat Jun 20 23:59:01 +0000 2020,42.9615,-85.6557,#1e212b,1727.0,602694.0,1
127,Denver, CO,#BLM,Sat Jun 20 23:58:58 +0000 2020,39.7621,-104.8759,#1e212b,1774.0,2787266.0,1
128,New Jersey, USA,#BLM,Sat Jun 20 23:58:54 +0000 2020,40.32016673040153,-74.52402217973231,#1e212b,1469.2390057361376,10892.99808795411,1
130,Laguna Beach, CA,#BLM,Sat Jun 20 23:58:49 +0000 2020,33.5449,-117.7613,#1e212b,1005.0,23147.0,1
131,Stockbridge, Georgia,#MAGA,Sat Jun 20 23:49:42 +0000 2020,33.5253,-84.2294,#ffc800,822.0,29114.0,1
132,Michigan, USA,#MAGA,Sat Jun 20 23:59:59 +0000 2020,43.47372115942029,-84.86635913043477,#ffc800,503.21159420289854,15115.937681159421,3
133,Haslett, MI,#MAGA,Sat Jun 20 23:59:59 +0000 2020,42.7525,-84.402,#ffc800,496.0,19800.0,1
135,Arizona, USA,#MAGA,Sat Jun 20 23:59:58 +0000 2020,33.872523318385646,-111.58644260089687,#ffc800,204.72869955156952,21483.224215246635,1
138,Oklahoma City, Oklahoma,#MAGA,Sat Jun 20 23:59:57 +0000 2020,35.4676,-97.5137,#ffc800,409.0,955998.0,1
139,New York, NY via Highland,#MAGA,Sat Jun 20 23:59:56 +0000 2020,42.11192215013902,-75.02628554216868,#ffc800,970.2613531047266,35076.80815569972,2
140,Chicago, IL,#MAGA,Sat Jun 20 23:59:54 +0000 2020,41.8373,-87.6862,#ffc800,4612.0,8675982.0,1
141,New York, USA,#MAGA,Sat Jun 20 23:59:54 +0000 2020,42.11192215013902,-75.02628554216868,#ffc800,970.2613531047266,35076.80815569972,2
142,New Jersey, USA,#MAGA,Sat Jun 20 23:59:54 +0000 2020,40.32016673040153,-74.52402217973231,#ffc800,1469.2390057361376,10892.99808795411,1
143,California, USA,#MAGA,Sat Jun 20 23:59:53 +0000 2020,36.924938936877076,-120.18747089700997,#ffc800,956.9958139534883,39607.22724252492,2
144,Texas, USA,#MAGA,Sat Jun 20 23:59:53 +0000 2020,30.65436949941793,-97.80444208381839,#ffc800,467.07974388824215,19220.278230500582,1
146,Florida, USA,#MAGA,Sat Jun 20 23:59:51 +0000 2020,28.1400878021978,-82.12263065934067,#ffc800,927.0826373626373,33241.92747252747,2
147,Ohio, USA,#MAGA,Sat Jun 20 23:59:51 +0000 2020,40.35181636212625,-82.80448712624585,#ffc800,549.1569767441861,11432.45265780731,1
148,Alabama, USA,#MAGA,Sat Jun 20 23:59:51 +0000 2020,32.94153133561644,-86.74674229452056,#ffc800,145.04965753424656,7362.020547945205,1
149,Florida, USA,#MAGA,Sat Jun 20 23:59:49 +0000 2020,28.1400878021978,-82.12263065934067,#ffc800,927.0826373626373,33241.92747252747,2
150,South Dakota, USA,#MAGA,Sat Jun 20 23:59:49 +0000 2020,44.280620408163266,-98.94644770408163,#ffc800,235.93112244897958,1732.0229591836735,1
151,San Antonio, Texas,#MAGA,Sat Jun 20 23:59:48 +0000 2020,29.4658,-98.5254,#ffc800,1204.0,2002530.0,1
152,Honolulu, HI,#MAGA,Sat Jun 20 23:59:48 +0000 2020,21.3294,-157.846,#ffc800,2234.0,833671.0,1
153,Idaho, USA,#MAGA,Sat Jun 20 23:59:48 +0000 2020,44.56990398230088,-114.69001194690266,#ffc800,425.5088495575221,7221.420353982301,1
155,Suisun City, CA,#MAGA,Sat Jun 20 23:59:46 +0000 2020,38.2471,-122.0086,#ffc800,2787.0,29639.0,1
157,San Diego, CA,#MAGA,Sat Jun 20 23:59:44 +0000 2020,32.8312,-117.1225,#ffc800,1683.0,3210314.0,1
159,Lakeland, FL,#MAGA,Sat Jun 20 23:59:41 +0000 2020,28.0557,-81.9545,#ffc800,630.0,291281.0,1
160,California, USA,#MAGA,Sat Jun 20 23:59:41 +0000 2020,36.924938936877076,-120.18747089700997,#ffc800,956.9958139534883,39607.22724252492,2
161,Michigan, USA,#MAGA,Sat Jun 20 23:59:41 +0000 2020,43.47372115942029,-84.86635913043477,#ffc800,503.21159420289854,15115.937681159421,3
