,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
0,Dallas, TX,#MWGA,Fri Jun 19 19:02:19 +0000 2020,32.7936,-96.7662,#21897e,1524.0,5733259.0,1
2,Texas, USA,#onlyfans,Fri Jun 19 23:59:46 +0000 2020,30.65436949941793,-97.80444208381839,#3ba99c,467.07974388824215,19220.278230500582,2
3,Indianapolis, IN,#onlyfans,Fri Jun 19 23:59:30 +0000 2020,39.7771,-86.1458,#3ba99c,921.0,1564699.0,1
5,Atlanta, GA,#onlyfans,Fri Jun 19 23:59:26 +0000 2020,33.7627,-84.4225,#3ba99c,1384.0,5228750.0,1
8,Redondo Beach, CA,#onlyfans,Fri Jun 19 23:58:57 +0000 2020,33.8574,-118.3766,#3ba99c,4230.0,67908.0,1
10,Boston,MA ,#onlyfans,Fri Jun 19 23:58:49 +0000 2020,42.3188,-71.0846,#3ba99c,5472.0,4637537.0,1
12,Fort Collins, CO,#onlyfans,Fri Jun 19 23:58:24 +0000 2020,40.5475,-105.0651,#3ba99c,1124.0,303184.0,1
13,California, USA,#onlyfans,Fri Jun 19 23:58:22 +0000 2020,36.924938936877076,-120.18747089700997,#3ba99c,956.9958139534883,39607.22724252492,1
15,Miami, FL,#onlyfans,Fri Jun 19 23:58:09 +0000 2020,25.7839,-80.2102,#3ba99c,4969.0,6381966.0,1
18,North Las Vegas, NV,#onlyfans,Fri Jun 19 23:57:17 +0000 2020,36.288,-115.0901,#3ba99c,957.0,242975.0,1
22,Texas, USA,#onlyfans,Fri Jun 19 23:56:10 +0000 2020,30.65436949941793,-97.80444208381839,#3ba99c,467.07974388824215,19220.278230500582,2
24,Oregon, USA,#onlyfans,Fri Jun 19 23:55:57 +0000 2020,44.56224297082228,-122.01842334217507,#3ba99c,621.6392572944297,13825.602122015915,1
46,Michigan, USA,Feminazi,Fri Jun 19 22:56:23 +0000 2020,43.47372115942029,-84.86635913043477,#69d1c5,503.21159420289854,15115.937681159421,1
49,San Francisco, CA,#Feminism,Fri Jun 19 23:24:57 +0000 2020,37.7562,-122.443,#7ebce6,7286.0,3603761.0,2
50,Florida, USA,#Feminism,Fri Jun 19 23:22:26 +0000 2020,28.1400878021978,-82.12263065934067,#7ebce6,927.0826373626373,33241.92747252747,1
53,Portland, OR,#Feminism,Fri Jun 19 22:51:13 +0000 2020,45.5371,-122.65,#7ebce6,1874.0,2052796.0,2
54,San Francisco, CA,#Feminism,Fri Jun 19 22:40:02 +0000 2020,37.7562,-122.443,#7ebce6,7286.0,3603761.0,2
55,New York, NY,#Feminism,Fri Jun 19 22:29:23 +0000 2020,40.6943,-73.9249,#7ebce6,11083.0,19354922.0,1
59,Austin, TX,#Feminism,Fri Jun 19 22:10:28 +0000 2020,30.3006,-97.7517,#7ebce6,1144.0,1638716.0,1
60,Santa Monica, CA,#Feminism,Fri Jun 19 21:46:28 +0000 2020,34.0232,-118.4813,#7ebce6,4235.0,92306.0,1
65,Portland, OR,#Feminism,Fri Jun 19 21:02:21 +0000 2020,45.5371,-122.65,#7ebce6,1874.0,2052796.0,2
67,Jacksonville Beach, FL,#Feminism,Fri Jun 19 20:57:27 +0000 2020,30.2782,-81.4045,#7ebce6,1236.0,23518.0,1
