Index,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
149,Washington, DC,#MAGA,Sun Jun 21 02:12:03 +0000 2020,38.9047,-77.0163,#ffc800,4382.0,5289420.0,1
151,Michigan, USA,#MAGA,Sun Jun 21 12:13:53 +0000 2020,43.47372115942029,-84.86635913043477,#ffc800,503.21159420289854,15115.937681159421,1
152,Houston, TX,#MAGA,Sun Jun 21 12:13:53 +0000 2020,29.7869,-95.3905,#ffc800,1401.0,5446468.0,1
153,Davidsville, PA,#MAGA,Sun Jun 21 12:13:52 +0000 2020,40.2348,-78.9356,#ffc800,140.0,841.0,1
154,Georgia, USA,#MAGA,Sun Jun 21 12:13:50 +0000 2020,32.96564403225806,-83.57147564516129,#ffc800,315.7548387096774,17340.274193548386,2
155,Fort Myers, FL,#MAGA,Sun Jun 21 12:13:50 +0000 2020,26.6195,-81.8303,#ffc800,774.0,79943.0,1
157,Chicago, IL,#MAGA,Sun Jun 21 12:13:49 +0000 2020,41.8373,-87.6862,#ffc800,4612.0,8675982.0,1
158,Boston, MA,#MAGA,Sun Jun 21 12:13:48 +0000 2020,42.3188,-71.0846,#ffc800,5472.0,4637537.0,1
160,Ohio, USA,#MAGA,Sun Jun 21 12:13:47 +0000 2020,40.35181636212625,-82.80448712624585,#ffc800,549.1569767441861,11432.45265780731,1
161,Georgia, USA,#MAGA,Sun Jun 21 12:13:46 +0000 2020,32.96564403225806,-83.57147564516129,#ffc800,315.7548387096774,17340.274193548386,2
162,Oklahoma, USA,#MAGA,Sun Jun 21 12:13:45 +0000 2020,35.55583016304348,-96.7480898097826,#ffc800,230.94565217391303,4969.266304347826,1
164,Pleasanton, CA,#MAGA,Sun Jun 21 12:13:40 +0000 2020,37.6663,-121.8805,#ffc800,1327.0,83007.0,1
165,Wichita, KS,#MAGA,Sun Jun 21 12:13:40 +0000 2020,37.6897,-97.3441,#ffc800,935.0,483057.0,1
166,Charlottesville, VA,#MAGA,Sun Jun 21 12:13:39 +0000 2020,38.0375,-78.4855,#ffc800,1809.0,102016.0,1
167,Texas, USA,#MAGA,Sun Jun 21 12:13:37 +0000 2020,30.65436949941793,-97.80444208381839,#ffc800,467.07974388824215,19220.278230500582,1
169,Austin, TX,#MAGA,Sun Jun 21 12:13:29 +0000 2020,30.3006,-97.7517,#ffc800,1144.0,1638716.0,1
170,Apex, NC,#MAGA,Sun Jun 21 12:13:29 +0000 2020,35.7246,-78.8698,#ffc800,1020.0,50451.0,1
171,Utah, USA,#MAGA,Sun Jun 21 12:13:28 +0000 2020,39.8694475308642,-111.74183148148148,#ffc800,364.6358024691358,14984.160493827161,1
173,Missouri, USA,#MAGA,Sun Jun 21 12:13:24 +0000 2020,38.46613426911907,-92.43911626331074,#ffc800,405.15663117134557,7224.933204259439,1
174,Raleigh, NC,#MAGA,Sun Jun 21 12:13:21 +0000 2020,35.8324,-78.6438,#ffc800,1235.0,1018336.0,1
175,Mount Sterling, KY,#MAGA,Sun Jun 21 12:13:20 +0000 2020,38.0646,-83.9473,#ffc800,630.0,11328.0,1
176,Florida, USA,#MAGA,Sun Jun 21 12:13:18 +0000 2020,28.1400878021978,-82.12263065934067,#ffc800,927.0826373626373,33241.92747252747,2
178,Florida,  born in Scotland ,#MAGA,Sun Jun 21 12:13:14 +0000 2020,28.1400878021978,-82.12263065934067,#ffc800,927.0826373626373,33241.92747252747,2
179,Clovis, CA,#ProChoice,Sun Jun 21 05:57:45 +0000 2020,36.8277,-119.6838,#ff8427,1720.0,109691.0,1
182,Alabama, USA,#ProChoice,Sun Jun 21 11:08:24 +0000 2020,32.94153133561644,-86.74674229452056,#ff8427,145.04965753424656,7362.020547945205,1
