,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
104,Philadelphia, PA,#BLM,Sat Jun 13 23:59:29 +0000 2020,40.0077,-75.1339,#1e212b,4547.0,5637884.0,1
105,Washington, DC,#BLM,Sat Jun 13 23:59:59 +0000 2020,38.9047,-77.0163,#1e212b,4382.0,5289420.0,2
107,Dallas, TX,#BLM,Sat Jun 13 23:59:59 +0000 2020,32.7936,-96.7662,#1e212b,1524.0,5733259.0,2
108,Boston, MA,#BLM,Sat Jun 13 23:59:58 +0000 2020,42.3188,-71.0846,#1e212b,5472.0,4637537.0,1
109,Roseville, MN,#BLM,Sat Jun 13 23:59:58 +0000 2020,45.0155,-93.1544,#1e212b,1078.0,36314.0,1
112,New York, NY,#BLM,Sat Jun 13 23:59:56 +0000 2020,40.6943,-73.9249,#1e212b,11083.0,19354922.0,2
113,Minneapolis, MN,#BLM,Sat Jun 13 23:59:55 +0000 2020,44.9635,-93.2678,#1e212b,3019.0,2926757.0,1
114,Medford, Oregon,#BLM,Sat Jun 13 23:59:54 +0000 2020,42.3372,-122.8537,#1e212b,1225.0,168219.0,1
115,Oakland, CA,#BLM,Sat Jun 13 23:59:54 +0000 2020,37.7903,-122.2165,#1e212b,2937.0,425195.0,1
117,Los Angeles, CA,#BLM,Sat Jun 13 23:59:54 +0000 2020,34.1139,-118.4068,#1e212b,3295.0,12815475.0,2
118,Riverside, CA,#BLM,Sat Jun 13 23:59:52 +0000 2020,33.9381,-117.3948,#1e212b,1557.0,2084749.0,1
119,Joliet, IL,#BLM,Sat Jun 13 23:59:50 +0000 2020,41.5189,-88.1499,#1e212b,893.0,148462.0,1
120,Salt Lake City, UT,#BLM,Sat Jun 13 23:59:49 +0000 2020,40.7774,-111.93,#1e212b,696.0,1098400.0,1
122,New Mexico, USA,#BLM,Sat Jun 13 23:59:48 +0000 2020,34.679786986301366,-106.52406095890412,#1e212b,150.43835616438355,4800.2168949771685,1
123,Florida, USA,#BLM,Sat Jun 13 23:59:47 +0000 2020,28.1400878021978,-82.12263065934067,#1e212b,927.0826373626373,33241.92747252747,1
124,Washington, USA,#BLM,Sat Jun 13 23:59:45 +0000 2020,47.344806451612904,-121.38152080645162,#1e212b,521.5129032258064,16346.754838709678,2
126,Edenton, NC,#BLM,Sat Jun 13 23:59:42 +0000 2020,36.058,-76.6008,#1e212b,338.0,4507.0,1
127,Troy, OH,#BLM,Sat Jun 13 23:59:42 +0000 2020,40.0435,-84.2189,#1e212b,830.0,25865.0,1
129,Odessa, FL,#BLM,Sat Jun 13 23:59:41 +0000 2020,28.182,-82.553,#1e212b,574.0,7983.0,1
130,North Dakota, USA,#BLM,Sat Jun 13 23:59:40 +0000 2020,47.52685985037407,-99.6368837905237,#1e212b,199.90523690773068,1813.5760598503741,1
132,Fort Lauderdale, FL,#BLM,Sat Jun 13 23:59:38 +0000 2020,26.1412,-80.1464,#1e212b,2010.0,180072.0,1
133,Dallas, TX,#BLM,Sat Jun 13 23:59:38 +0000 2020,32.7936,-96.7662,#1e212b,1524.0,5733259.0,2
134,San Diego, CA,#BLM,Sat Jun 13 23:59:38 +0000 2020,32.8312,-117.1225,#1e212b,1683.0,3210314.0,1
135,California, USA,#BLM,Sat Jun 13 23:59:38 +0000 2020,36.924938936877076,-120.18747089700997,#1e212b,956.9958139534883,39607.22724252492,1
138,Smyrna, TN,#BLM,Sat Jun 13 23:59:32 +0000 2020,35.9722,-86.5253,#1e212b,636.0,49969.0,1
139,New York, NY,#BLM,Sat Jun 13 23:59:32 +0000 2020,40.6943,-73.9249,#1e212b,11083.0,19354922.0,2
141,Los Angeles, CA,#BLM,Sat Jun 13 23:59:31 +0000 2020,34.1139,-118.4068,#1e212b,3295.0,12815475.0,2
143,Midland, TX,#BLM,Sat Jun 13 23:59:29 +0000 2020,32.0249,-102.1137,#1e212b,706.0,144247.0,1
145,Santa Monica, CA,#BLM,Sat Jun 13 23:59:26 +0000 2020,34.0232,-118.4813,#1e212b,4235.0,92306.0,1
148,Texas, USA,#MAGA,Sat Jun 13 23:59:48 +0000 2020,30.65436949941793,-97.80444208381839,#ffc800,467.07974388824215,19220.278230500582,1
149,Arizona, USA,#MAGA,Sat Jun 13 23:59:44 +0000 2020,33.872523318385646,-111.58644260089687,#ffc800,204.72869955156952,21483.224215246635,1
150,Michigan, USA,#MAGA,Sat Jun 13 23:59:42 +0000 2020,43.47372115942029,-84.86635913043477,#ffc800,503.21159420289854,15115.937681159421,1
151,Nebraska, USA,#MAGA,Sat Jun 13 23:59:40 +0000 2020,41.21501586206897,-98.35381551724139,#ffc800,349.52758620689656,3250.1224137931035,1
152,Champaign,IL,#MAGA,Sat Jun 13 23:59:31 +0000 2020,40.1144,-88.2735,#ffc800,1478.0,156794.0,1
154,Alabama, USA,#MAGA,Sat Jun 13 23:59:20 +0000 2020,32.94153133561644,-86.74674229452056,#ffc800,145.04965753424656,7362.020547945205,1
155,Oklahoma, USA,#MAGA,Sat Jun 13 23:59:15 +0000 2020,35.55583016304348,-96.7480898097826,#ffc800,230.94565217391303,4969.266304347826,1
157,Santa Clara, CA,#MAGA,Sat Jun 13 23:59:07 +0000 2020,37.3646,-121.968,#ffc800,2667.0,127134.0,1
158,Pennsylvania, USA,#MAGA,Sat Jun 13 23:59:05 +0000 2020,40.62121128472223,-77.63372887731481,#ffc800,782.3564814814815,9051.620949074075,1
159,Hanford, CA ,#MAGA,Sat Jun 13 23:58:58 +0000 2020,36.3264,-119.6544,#ffc800,1273.0,92066.0,1
160,San Diego, CA,#MAGA,Sat Jun 13 23:58:58 +0000 2020,32.8312,-117.1225,#ffc800,1683.0,3210314.0,1
161,Thomson, GA,#MAGA,Sat Jun 13 23:58:57 +0000 2020,33.4666,-82.4992,#ffc800,580.0,8309.0,1
162,Tuscumbia, AL,#MAGA,Sat Jun 13 23:58:53 +0000 2020,34.7204,-87.7035,#ffc800,351.0,8398.0,1
163,Gilbert, AZ,#MAGA,Sat Jun 13 23:58:51 +0000 2020,33.3103,-111.7463,#ffc800,1374.0,242354.0,1
165,Florida, USA,#MAGA,Sat Jun 13 23:58:49 +0000 2020,28.1400878021978,-82.12263065934067,#ffc800,927.0826373626373,33241.92747252747,1
166,Palm Springs, CA,#MAGA,Sat Jun 13 23:58:44 +0000 2020,33.8017,-116.5382,#ffc800,197.0,48142.0,1
167,Houston, TX,#MAGA,Sat Jun 13 23:58:44 +0000 2020,29.7869,-95.3905,#ffc800,1401.0,5446468.0,1
168,Arlington, VA,#MAGA,Sat Jun 13 23:58:42 +0000 2020,38.8786,-77.1011,#ffc800,3408.0,229534.0,1
173,Powder Springs, GA,#MAGA,Sat Jun 13 23:58:25 +0000 2020,33.866,-84.6839,#ffc800,790.0,15052.0,1
174,Portland, OR,#MAGA,Sat Jun 13 23:58:22 +0000 2020,45.5371,-122.65,#ffc800,1874.0,2052796.0,1
175,New York, NY,#MAGA,Sat Jun 13 23:58:21 +0000 2020,40.6943,-73.9249,#ffc800,11083.0,19354922.0,1
176,Frederick, SD ,#MAGA,Sat Jun 13 23:58:21 +0000 2020,45.8321,-98.5069,#ffc800,198.0,200.0,1
177,Madison, GA,#MAGA,Sat Jun 13 23:58:10 +0000 2020,33.579,-83.4758,#ffc800,180.0,4517.0,1
178,Austin, Texas,#MAGA,Sat Jun 13 23:58:04 +0000 2020,30.3006,-97.7517,#ffc800,1144.0,1638716.0,1
179,Texas, USA,#ProChoice,Sat Jun 13 23:58:49 +0000 2020,30.65436949941793,-97.80444208381839,#ff8427,467.07974388824215,19220.278230500582,1
180,Dallas, TX,#ProChoice,Sat Jun 13 23:58:22 +0000 2020,32.7936,-96.7662,#ff8427,1524.0,5733259.0,1
183,Huntsville, AL,#ProChoice,Sat Jun 13 22:00:20 +0000 2020,34.6988,-86.6412,#ff8427,350.0,309716.0,1
184,Nashville, TN,#ProChoice,Sat Jun 13 21:32:15 +0000 2020,36.1715,-86.7843,#ff8427,541.0,1076645.0,1
185,Oklahoma, USA,#ProChoice,Sat Jun 13 21:13:36 +0000 2020,35.55583016304348,-96.7480898097826,#ff8427,230.94565217391303,4969.266304347826,1
187,Portland, Oregon,#ProChoice,Sat Jun 13 20:15:39 +0000 2020,45.5371,-122.65,#ff8427,1874.0,2052796.0,1
190,San Diego, CA,#ProChoice,Sat Jun 13 19:32:05 +0000 2020,32.8312,-117.1225,#ff8427,1683.0,3210314.0,1
193,Greenbelt, MD,#ProChoice,Sat Jun 13 18:59:41 +0000 2020,38.9953,-76.8885,#ff8427,1454.0,23489.0,1
195,Tennessee, USA,#ProChoice,Sat Jun 13 18:07:28 +0000 2020,35.82854061032864,-86.25442746478873,#ff8427,230.86150234741785,14237.330985915492,2
196,Tennessee, USA,#ProChoice,Sat Jun 13 17:44:22 +0000 2020,35.82854061032864,-86.25442746478873,#ff8427,230.86150234741785,14237.330985915492,2
199,New York, NY,#ProChoice,Sat Jun 13 14:08:52 +0000 2020,40.6943,-73.9249,#ff8427,11083.0,19354922.0,1
200,Pittsburgh, PA,#ProChoice,Sat Jun 13 13:45:08 +0000 2020,40.4396,-79.9763,#ff8427,2108.0,1715297.0,1
205,Arizona, USA,#ProChoice,Sat Jun 13 08:14:51 +0000 2020,33.872523318385646,-111.58644260089687,#ff8427,204.72869955156952,21483.224215246635,1
206,Lake City, FL,#ProChoice,Sat Jun 13 08:03:45 +0000 2020,30.1901,-82.6471,#ff8427,396.0,25869.0,1
207,Washington, DC,#ProLife,Sat Jun 13 19:27:00 +0000 2020,38.9047,-77.0163,#564787,4382.0,5289420.0,2
208,Texas, USA,#ProLife,Sat Jun 13 23:58:49 +0000 2020,30.65436949941793,-97.80444208381839,#564787,467.07974388824215,19220.278230500582,3
209,Dallas, TX,#ProLife,Sat Jun 13 23:58:22 +0000 2020,32.7936,-96.7662,#564787,1524.0,5733259.0,2
210,Texas, USA,#ProLife,Sat Jun 13 23:54:27 +0000 2020,30.65436949941793,-97.80444208381839,#564787,467.07974388824215,19220.278230500582,3
211,Texas, USA,#ProLife,Sat Jun 13 23:53:07 +0000 2020,30.65436949941793,-97.80444208381839,#564787,467.07974388824215,19220.278230500582,3
212,South Carolina, USA,#ProLife,Sat Jun 13 23:52:41 +0000 2020,34.02741446700507,-81.11013807106599,#564787,310.6446700507614,11497.964467005077,1
213,Illinois, USA,#ProLife,Sat Jun 13 23:47:06 +0000 2020,40.335685557184746,-89.03020461876832,#564787,554.2741935483871,13391.538856304986,1
214,Colorado, USA,#ProLife,Sat Jun 13 23:41:42 +0000 2020,39.18856197802197,-105.29543868131867,#564787,446.1802197802198,16481.65274725275,1
215,Cape Coral, FL,#ProLife,Sat Jun 13 23:34:24 +0000 2020,26.6445,-81.9955,#564787,669.0,630134.0,1
216,Florida, USA,#ProLife,Sat Jun 13 23:25:15 +0000 2020,28.1400878021978,-82.12263065934067,#564787,927.0826373626373,33241.92747252747,2
217,New York, USA,#ProLife,Sat Jun 13 23:21:33 +0000 2020,42.11192215013902,-75.02628554216868,#564787,970.2613531047266,35076.80815569972,1
218,Los Angeles, CA,#ProLife,Sat Jun 13 23:19:44 +0000 2020,34.1139,-118.4068,#564787,3295.0,12815475.0,2
219,Texarkana, TX,#ProLife,Sat Jun 13 23:19:31 +0000 2020,33.4487,-94.0815,#564787,496.0,80145.0,1
220,Radcliffe,Iowa,#ProLife,Sat Jun 13 23:18:45 +0000 2020,42.3177,-93.4343,#564787,205.0,531.0,1
221,Honolulu, HI,#ProLife,Sat Jun 13 23:18:28 +0000 2020,21.3294,-157.846,#564787,2234.0,833671.0,1
223,Queens, NY,#ProLife,Sat Jun 13 23:16:48 +0000 2020,40.7498,-73.7976,#564787,8247.0,2333054.0,1
224,North Carolina, USA,#ProLife,Sat Jun 13 23:15:46 +0000 2020,35.439809510869566,-79.32081358695652,#564787,296.32065217391306,12504.385869565218,1
226,Charlotte, NC,#ProLife,Sat Jun 13 23:13:19 +0000 2020,35.2079,-80.8304,#564787,1081.0,1467362.0,1
227,Los Angeles, CA,#ProLife,Sat Jun 13 23:11:43 +0000 2020,34.1139,-118.4068,#564787,3295.0,12815475.0,2
228,Delaware, USA,#ProLife,Sat Jun 13 23:06:37 +0000 2020,39.13633766233766,-75.48757012987014,#564787,694.2597402597403,7244.25974025974,1
229,Lubbock, TX,#ProLife,Sat Jun 13 23:03:38 +0000 2020,33.5642,-101.8871,#564787,767.0,262505.0,1
230,Sebastian, FL,#ProLife,Sat Jun 13 23:03:17 +0000 2020,27.7883,-80.4815,#564787,715.0,25174.0,1
232,Washington, DC,#ProLife,Sat Jun 13 22:58:10 +0000 2020,38.9047,-77.0163,#564787,4382.0,5289420.0,2
233,New Jersey, USA,#ProLife,Sat Jun 13 22:52:27 +0000 2020,40.32016673040153,-74.52402217973231,#564787,1469.2390057361376,10892.99808795411,1
234,Missouri, USA,#ProLife,Sat Jun 13 22:51:10 +0000 2020,38.46613426911907,-92.43911626331074,#564787,405.15663117134557,7224.933204259439,1
235,Dallas, TX,#ProLife,Sat Jun 13 22:48:56 +0000 2020,32.7936,-96.7662,#564787,1524.0,5733259.0,2
236,Florida, USA,#ProLife,Sat Jun 13 22:46:50 +0000 2020,28.1400878021978,-82.12263065934067,#564787,927.0826373626373,33241.92747252747,2
237,Brooklyn, NY,#BlueLivesMurder,Sat Jun 13 22:44:10 +0000 2020,40.6501,-73.9496,#dbcbd8,14606.0,2629150.0,1
240,Chicago, IL,#BlueLivesMurder,Sat Jun 13 22:01:25 +0000 2020,41.8373,-87.6862,#dbcbd8,4612.0,8675982.0,1
241,Milwaukee, WI,#BlueLivesMurder,Sat Jun 13 21:09:28 +0000 2020,43.0642,-87.9673,#dbcbd8,2389.0,1377808.0,1
242,South Carolina, USA,#BlueLivesMurder,Sat Jun 13 20:39:45 +0000 2020,34.02741446700507,-81.11013807106599,#dbcbd8,310.6446700507614,11497.964467005077,1
243,Florida, USA,#BlueLivesMurder,Sat Jun 13 20:27:22 +0000 2020,28.1400878021978,-82.12263065934067,#dbcbd8,927.0826373626373,33241.92747252747,1
244,Dallas, TX,#BlueLivesMurder,Sat Jun 13 18:47:22 +0000 2020,32.7936,-96.7662,#dbcbd8,1524.0,5733259.0,1
245,Virginia, USA,#BlueLivesMurder,Sat Jun 13 18:35:09 +0000 2020,37.7647656996587,-78.37606126279863,#dbcbd8,544.5238907849829,13988.131399317406,1
246,Detroit, MI,#BlueLivesMurder,Sat Jun 13 18:29:56 +0000 2020,42.3834,-83.1024,#dbcbd8,1873.0,3522206.0,1
247,Kentucky, USA,#BlueLivesMurder,Sat Jun 13 18:12:27 +0000 2020,37.77555102420857,-85.40921098696461,#dbcbd8,543.3631284916202,6122.7597765363125,2
248,Buffalo, NY,#BlueLivesMurder,Sat Jun 13 17:51:12 +0000 2020,42.9017,-78.8487,#dbcbd8,2472.0,926261.0,1
251,San Diego, CA,#BlueLivesMurder,Sat Jun 13 16:14:25 +0000 2020,32.8312,-117.1225,#dbcbd8,1683.0,3210314.0,1
252,Mars, PA,#BlueLivesMurder,Sat Jun 13 16:13:12 +0000 2020,40.6969,-80.0141,#dbcbd8,1342.0,1637.0,1
253,Georgia, USA,#BlueLivesMurder,Sat Jun 13 16:11:49 +0000 2020,32.96564403225806,-83.57147564516129,#dbcbd8,315.7548387096774,17340.274193548386,1
254,Atlanta, GA,#BlueLivesMurder,Sat Jun 13 15:52:54 +0000 2020,33.7627,-84.4225,#dbcbd8,1384.0,5228750.0,1
255,Carson, CA,#BlueLivesMurder,Sat Jun 13 15:49:42 +0000 2020,33.8374,-118.2559,#dbcbd8,1912.0,92735.0,1
256,Baton Rouge, LA,#BlueLivesMurder,Sat Jun 13 15:48:43 +0000 2020,30.4419,-91.131,#dbcbd8,1006.0,583613.0,1
257,Tallahassee, FL,#BlueLivesMurder,Sat Jun 13 15:48:05 +0000 2020,30.4551,-84.2527,#dbcbd8,734.0,253030.0,1
258,Phoenix, AZ,#BlueLivesMurder,Sat Jun 13 15:27:11 +0000 2020,33.5722,-112.0891,#dbcbd8,1212.0,4081849.0,1
259,Gardena, CA,#BlueLivesMurder,Sat Jun 13 14:10:50 +0000 2020,33.8944,-118.3073,#dbcbd8,3989.0,60224.0,1
260,Arizona, USA,#BlueLivesMurder,Sat Jun 13 13:47:29 +0000 2020,33.872523318385646,-111.58644260089687,#dbcbd8,204.72869955156952,21483.224215246635,1
261,Louisville, KY,#BlueLivesMurder,Sat Jun 13 13:40:12 +0000 2020,38.1663,-85.6485,#dbcbd8,910.0,1011696.0,2
262,Seattle, WA,#BlueLivesMurder,Sat Jun 13 13:39:24 +0000 2020,47.6211,-122.3244,#dbcbd8,3336.0,3643765.0,1
263,Kentucky, USA,#BlueLivesMurder,Sat Jun 13 13:33:34 +0000 2020,37.77555102420857,-85.40921098696461,#dbcbd8,543.3631284916202,6122.7597765363125,2
264,Louisville, KY,#BlueLivesMurder,Sat Jun 13 13:30:26 +0000 2020,38.1663,-85.6485,#dbcbd8,910.0,1011696.0,2
265,Tampa, Florida,#BlueLivesMurder,Sat Jun 13 13:27:06 +0000 2020,27.9942,-82.4451,#dbcbd8,1305.0,2804240.0,1
266,Texas, USA,#BlueLivesMurder,Sat Jun 13 09:42:14 +0000 2020,30.65436949941793,-97.80444208381839,#dbcbd8,467.07974388824215,19220.278230500582,1
269,Portland, OR,#DisarmthePolice,Sat Jun 13 22:56:20 +0000 2020,45.5371,-122.65,#562c2c,1874.0,2052796.0,3
271,Wisconsin, USA,#DisarmthePolice,Sat Jun 13 22:46:02 +0000 2020,44.158926070038916,-89.66840869001297,#562c2c,323.35927367055774,7699.124513618677,1
272,Drexel Hill, PA,#DisarmthePolice,Sat Jun 13 22:03:17 +0000 2020,39.9495,-75.3039,#562c2c,3412.0,28246.0,1
274,Los Angeles, CA,#DisarmthePolice,Sat Jun 13 20:19:26 +0000 2020,34.1139,-118.4068,#562c2c,3295.0,12815475.0,1
276,Pittsburgh, PA,#DisarmthePolice,Sat Jun 13 19:47:20 +0000 2020,40.4396,-79.9763,#562c2c,2108.0,1715297.0,1
277,Portland, OR,#DisarmthePolice,Sat Jun 13 19:27:39 +0000 2020,45.5371,-122.65,#562c2c,1874.0,2052796.0,3
278,Philadelphia, PA,#DisarmthePolice,Sat Jun 13 19:09:38 +0000 2020,40.0077,-75.1339,#562c2c,4547.0,5637884.0,1
279,Maine, USA,#DisarmthePolice,Sat Jun 13 18:08:20 +0000 2020,44.11133170731708,-69.8144756097561,#562c2c,252.90243902439025,15044.658536585366,1
281,Portland, OR,#DisarmthePolice,Sat Jun 13 13:48:21 +0000 2020,45.5371,-122.65,#562c2c,1874.0,2052796.0,3
285,Madison Center, CT,#DisarmthePolice,Sat Jun 13 09:05:54 +0000 2020,41.2794,-72.6003,#562c2c,516.0,2737.0,1
287,Los Angeles, CA,BlackLivesMatter,Sat Jun 13 23:59:59 +0000 2020,34.1139,-118.4068,#f2542d,3295.0,12815475.0,3
289,California, USA,BlackLivesMatter,Sat Jun 13 23:59:58 +0000 2020,36.924938936877076,-120.18747089700997,#f2542d,956.9958139534883,39607.22724252492,1
290,Oklahoma City, OK,BlackLivesMatter,Sat Jun 13 23:59:58 +0000 2020,35.4676,-97.5137,#f2542d,409.0,955998.0,1
291,Oakland, California,BlackLivesMatter,Sat Jun 13 23:59:58 +0000 2020,37.7903,-122.2165,#f2542d,2937.0,425195.0,2
292,Boston, MA,BlackLivesMatter,Sat Jun 13 23:59:58 +0000 2020,42.3188,-71.0846,#f2542d,5472.0,4637537.0,1
293,Roseville, MN,BlackLivesMatter,Sat Jun 13 23:59:58 +0000 2020,45.0155,-93.1544,#f2542d,1078.0,36314.0,1
294,New Jersey, USA,BlackLivesMatter,Sat Jun 13 23:59:57 +0000 2020,40.32016673040153,-74.52402217973231,#f2542d,1469.2390057361376,10892.99808795411,2
295,New Jersey, USA,BlackLivesMatter,Sat Jun 13 23:59:57 +0000 2020,40.32016673040153,-74.52402217973231,#f2542d,1469.2390057361376,10892.99808795411,2
299,New York, NY,BlackLivesMatter,Sat Jun 13 23:59:56 +0000 2020,40.6943,-73.9249,#f2542d,11083.0,19354922.0,1
300,North Grosvenor Dale, CT,BlackLivesMatter,Sat Jun 13 23:59:56 +0000 2020,41.9862,-71.9034,#f2542d,185.0,1086.0,1
