,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
3,Tucson, AZ,#onlyfans,Tue Jun 16 23:59:13 +0000 2020,32.1545,-110.8782,#3ba99c,868.0,868391.0,1
6,Gardnerville, NV,#onlyfans,Tue Jun 16 23:58:57 +0000 2020,38.939,-119.7369,#3ba99c,485.0,6034.0,1
8,Seattle, WA,#onlyfans,Tue Jun 16 23:58:37 +0000 2020,47.6211,-122.3244,#3ba99c,3336.0,3643765.0,1
10,Braselton, GA,#onlyfans,Tue Jun 16 23:58:30 +0000 2020,34.1087,-83.8124,#3ba99c,330.0,10947.0,1
11,Beaverton, OR,#onlyfans,Tue Jun 16 23:58:26 +0000 2020,45.4779,-122.8168,#3ba99c,1922.0,97514.0,1
14,Michigan, USA,#onlyfans,Tue Jun 16 23:57:03 +0000 2020,43.47372115942029,-84.86635913043477,#3ba99c,503.21159420289854,15115.937681159421,1
16,Arizona, USA,#onlyfans,Tue Jun 16 23:56:42 +0000 2020,33.872523318385646,-111.58644260089687,#3ba99c,204.72869955156952,21483.224215246635,1
17,Texas, USA,#onlyfans,Tue Jun 16 23:56:34 +0000 2020,30.65436949941793,-97.80444208381839,#3ba99c,467.07974388824215,19220.278230500582,1
40,Boston, MA,Feminazi,Tue Jun 16 23:40:09 +0000 2020,42.3188,-71.0846,#69d1c5,5472.0,4637537.0,1
46,Las Vegas, NV,#Feminism,Tue Jun 16 23:58:34 +0000 2020,36.2333,-115.2654,#7ebce6,1747.0,2073045.0,1
49,Los Angeles, CA,#Feminism,Tue Jun 16 23:30:38 +0000 2020,34.1139,-118.4068,#7ebce6,3295.0,12815475.0,1
54,Nashua, NH,#Feminism,Tue Jun 16 23:00:13 +0000 2020,42.7491,-71.491,#7ebce6,1106.0,231262.0,1
55,San Francisco, CA,#Feminism,Tue Jun 16 22:45:04 +0000 2020,37.7562,-122.443,#7ebce6,7286.0,3603761.0,1
56,Kalamazoo, MI,#Feminism,Tue Jun 16 22:30:00 +0000 2020,42.2749,-85.5882,#7ebce6,1186.0,214083.0,1
57,Half Moon Bay, California,#Feminism,Tue Jun 16 22:19:26 +0000 2020,37.4688,-122.4383,#7ebce6,773.0,23540.0,1
63,Denver, CO,#Feminism,Tue Jun 16 20:38:41 +0000 2020,39.7621,-104.8759,#7ebce6,1774.0,2787266.0,1
